model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,antibiotic_auc
species_multihead_no_enrichment,4,29,Cotrimoxazole,5518,0.8630731110357195
species_multihead_no_enrichment,4,30,Daptomycin,3530,0.845100105374078
species_multihead_no_enrichment,4,31,Doxycycline,159,0.5657248157248157
species_multihead_no_enrichment,4,32,Ertapenem,7313,0.9286755681420732
species_multihead_no_enrichment,4,33,Erythromycin,3438,0.8985498885251766
species_multihead_no_enrichment,4,34,Fluconazole,62,0.6736842105263159
species_multihead_no_enrichment,4,35,Fosfomycin,6095,0.7419405945710253
species_multihead_no_enrichment,4,36,Fusidic acid,2429,0.8434078771695593
species_multihead_no_enrichment,4,37,Gentamicin,8379,0.9106967396536664
species_multihead_no_enrichment,4,38,Gentamicin_high_level,122,0.7797619047619048
species_multihead_no_enrichment,4,39,Imipenem,11516,0.9653460134578509
species_multihead_no_enrichment,4,40,Itraconazole,58,0.63718820861678
species_multihead_no_enrichment,4,41,Levofloxacin,9180,0.8863855374786176
species_multihead_no_enrichment,4,42,Linezolid,3850,0.8833362328926003
species_multihead_no_enrichment,4,43,Meropenem,9718,0.9467032056437119
species_multihead_no_enrichment,4,44,Meropenem_with_meningitis,22,0.7904761904761904
species_multihead_no_enrichment,4,45,Meropenem_without_meningitis,9,1.0
species_multihead_no_enrichment,4,46,Micafungin,65,0.8870056497175142
species_multihead_no_enrichment,4,47,Minocycline,2024,0.8818208959274789
species_multihead_no_enrichment,4,48,Moxifloxacin,195,0.9788609364081062
species_multihead_no_enrichment,4,49,Mupirocin,1632,0.958549596309112
species_multihead_no_enrichment,4,50,Nitrofurantoin,4312,0.8952012164933871
species_multihead_no_enrichment,4,51,Norfloxacin,5059,0.8698104712895185
species_multihead_no_enrichment,4,52,Oxacillin,3056,0.9125954292969931
species_multihead_no_enrichment,4,53,Penicillin,3443,0.9481315750691739
species_multihead_no_enrichment,4,54,Penicillin_with_meningitis,43,0.7443181818181819
species_multihead_no_enrichment,4,55,Penicillin_with_other_infections,44,0.7015873015873015
species_multihead_no_enrichment,4,56,Penicillin_with_pneumonia,44,0.764102564102564
species_multihead_no_enrichment,4,57,Piperacillin,3823,0.9167310553160484
species_multihead_no_enrichment,4,58,Piperacillin-Tazobactam,5791,0.8695688013814631
species_multihead_no_enrichment,4,59,Polymyxin B,551,1.0
species_multihead_no_enrichment,4,60,Posaconazole,59,0.6227272727272728
species_multihead_no_enrichment,4,61,Pristinamycin,1401,0.9608869460182337
species_multihead_no_enrichment,4,62,Rifampicin,2248,0.8939981778992512
species_multihead_no_enrichment,4,63,Strepomycin_high_level,16,0.5
species_multihead_no_enrichment,4,64,Teicoplanin,2829,0.9418177837308743
species_multihead_no_enrichment,4,65,Tetracycline,3312,0.9104671261858168
species_multihead_no_enrichment,4,66,Ticarcillin,1704,0.9251783076598439
species_multihead_no_enrichment,4,67,Tigecycline,3560,0.9964296468361509
species_multihead_no_enrichment,4,68,Tobramycin,9117,0.8810335834854045
species_multihead_no_enrichment,4,69,Vancomycin,4129,0.9749327463927611
species_multihead_no_enrichment,4,70,Voriconazole,65,0.5158730158730158
implicit_species_no_enrichment,0,0,5-Fluorocytosine,49,0.47916666666666663
implicit_species_no_enrichment,0,1,Amikacin,8846,0.8634535811031552
implicit_species_no_enrichment,0,2,Amoxicillin,34,0.9333333333333333
implicit_species_no_enrichment,0,3,Amoxicillin-Clavulanic acid,5778,0.9115095978088363
implicit_species_no_enrichment,0,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,16,0.8545454545454545
implicit_species_no_enrichment,0,5,Ampicillin,4228,0.9553445848219111
implicit_species_no_enrichment,0,6,Anidulafungin,51,0.7029914529914529
implicit_species_no_enrichment,0,7,Azithromycin,44,0.7369791666666666
implicit_species_no_enrichment,0,8,Aztreonam,4270,0.8474482080035913
implicit_species_no_enrichment,0,9,Benzylpenicillin,140,0.7977909940526764
implicit_species_no_enrichment,0,10,Caspofungin,53,1.0
implicit_species_no_enrichment,0,11,Cefazolin,1901,0.9320693234451436
implicit_species_no_enrichment,0,12,Cefepime,10025,0.8806131867700241
implicit_species_no_enrichment,0,13,Cefixime,2956,0.7690239314796052
implicit_species_no_enrichment,0,14,Cefotaxime,3816,0.8858491991983151
implicit_species_no_enrichment,0,15,Cefoxitin,1210,0.9559450154605748
implicit_species_no_enrichment,0,16,Cefpodoxime,1291,0.9091286662843853
implicit_species_no_enrichment,0,17,Ceftazidime,7669,0.8310904889795796
implicit_species_no_enrichment,0,18,Ceftolozane-Tazobactam,17,0.5166666666666667
implicit_species_no_enrichment,0,19,Ceftriaxone,5372,0.8904164923405169
implicit_species_no_enrichment,0,20,Cefuroxime,6700,0.8779471664335665
implicit_species_no_enrichment,0,21,Chloramphenicol,1562,0.957063649844379
implicit_species_no_enrichment,0,22,Ciprofloxacin,12143,0.8732984934107588
implicit_species_no_enrichment,0,23,Clarithromycin,268,0.772348484848485
implicit_species_no_enrichment,0,24,Clindamycin,3313,0.9072131485393374
implicit_species_no_enrichment,0,25,Colistin,7703,0.9773282829463709
implicit_species_no_enrichment,0,26,Cotrimoxazol,299,0.7467385138967669
implicit_species_no_enrichment,0,27,Cotrimoxazole,5566,0.8599378398278206
