model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
implicit_species_hypernetwork_no_enrichment,2,21,Staphylococcus_Hominis,172,3606,0.8883591243555571,0.6835573630694317,24,121.29166666666667
implicit_species_hypernetwork_no_enrichment,2,22,Staphylococcus_Lugdunensis,90,1820,0.9631728287804022,0.803322493479785,16,52.0625
implicit_species_hypernetwork_no_enrichment,2,23,Stenotrophomonas_Maltophilia,130,722,0.972465034965035,0.7103455776249894,6,50.333333333333336
implicit_species_hypernetwork_no_enrichment,2,24,Streptococcus_Pneumoniae,112,1223,0.8326617019199192,0.7232313740740935,23,44.608695652173914
implicit_species_hypernetwork_no_enrichment,3,0,Campylobacter_Jejuni,97,258,0.8677811550151975,0.5411941170030291,5,50.6
implicit_species_hypernetwork_no_enrichment,3,1,Candida_Albicans,58,381,0.8775216138328531,0.8356052340890615,7,54.42857142857143
implicit_species_hypernetwork_no_enrichment,3,2,Citrobacter_Freundii,136,2168,0.9081255260942762,0.6577565436217134,22,86.13636363636364
implicit_species_hypernetwork_no_enrichment,3,3,Citrobacter_Koseri,181,2902,0.9717421515329612,0.6744550400565295,20,105.5
implicit_species_hypernetwork_no_enrichment,3,4,Enterobacter_Cloacae,303,4464,0.9110419037291035,0.6960692697646996,25,158.76
implicit_species_hypernetwork_no_enrichment,3,5,Enterococcus_Faecalis,896,13774,0.9874363874236793,0.7227358926995134,20,550.7
implicit_species_hypernetwork_no_enrichment,3,6,Enterococcus_Faecium,444,4866,0.974855292075328,0.8021081095844127,22,193.54545454545453
implicit_species_hypernetwork_no_enrichment,3,7,Escherichia_Coli,1556,24761,0.8624772142112394,0.6342120379679991,31,792.1290322580645
implicit_species_hypernetwork_no_enrichment,3,8,Haemophilus_Influenzae,203,679,0.8744745985082243,0.7723387200355161,12,46.916666666666664
