model_mode,species,antibiotic,mean_species_antibiotic_auc,std_species_antibiotic_auc,mean_n_val_pairs,mean_n_susceptible,mean_n_resistant,n_folds,n_folds_with_valid_auc
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Gentamicin_high_level,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Imipenem,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Itraconazole,0.687770367243733,0.08595631275819542,56.6,48.8,7.8,5,5
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Levofloxacin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Linezolid,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Meropenem,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Meropenem_with_meningitis,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Meropenem_without_meningitis,,,0.0,,,3,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Micafungin,0.9155536508388666,0.04280439804297026,61.4,56.6,4.8,5,5
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Minocycline,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Moxifloxacin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Mupirocin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Nitrofurantoin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Norfloxacin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Oxacillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Penicillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Penicillin_with_meningitis,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Penicillin_with_other_infections,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Penicillin_with_pneumonia,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Piperacillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Piperacillin-Tazobactam,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Polymyxin B,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Posaconazole,0.633505386344261,0.3502184848693898,58.4,55.8,2.6,5,5
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Pristinamycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Rifampicin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Strepomycin_high_level,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Teicoplanin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Tetracycline,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Ticarcillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Tigecycline,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Tobramycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Vancomycin,,,0.0,,,5,0
